"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @moodlepete: @andrewmid anyone mentioned this yet? https://t.co/ZivnVG3mlr #LTHEchat flexible spaces let users collaborate with their de…",FALSE,0,NA,2017-04-09 11:26:48,FALSE,NA,"851033651441741824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatherineAReid",3,TRUE,FALSE,NA,NA
"2","RT @andrewmid: Reflecting on Hybrid Learning Spaces Tweetchat #LTHEchat https://t.co/A98LRWztw6",FALSE,0,NA,2017-04-09 11:25:46,FALSE,NA,"851033390597931009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatherineAReid",1,TRUE,FALSE,NA,NA
"3","RT @sallyburruk: This sounds like a fascinating piece of work! #highered #highereducation #lthechat https://t.co/Q6ae4NzKUi",FALSE,0,NA,2017-04-08 20:37:22,FALSE,NA,"850809818252279808",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","JamesRoy",1,TRUE,FALSE,NA,NA
"4","This sounds like a fascinating piece of work! #highered #highereducation #lthechat https://t.co/Q6ae4NzKUi",FALSE,5,NA,2017-04-08 20:01:31,FALSE,NA,"850800793846517763",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sallyburruk",1,FALSE,FALSE,NA,NA
"5","RT @alacre: Univ of Kent has bookable learning spaces in the woods! #lthechat",FALSE,0,NA,2017-04-08 16:53:58,FALSE,NA,"850753597616910336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrPatCullum",3,TRUE,FALSE,NA,NA
"6","Reflecting on Hybrid Learning Spaces Tweetchat #LTHEchat https://t.co/A98LRWztw6",FALSE,0,NA,2017-04-08 16:30:35,FALSE,NA,"850747711129309184",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","andrewmid",1,FALSE,FALSE,NA,NA
"7","RT @moodlepete: @andrewmid anyone mentioned this yet? https://t.co/ZivnVG3mlr #LTHEchat flexible spaces let users collaborate with their de…",FALSE,0,NA,2017-04-08 15:56:45,FALSE,NA,"850739199632343041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrewmid",3,TRUE,FALSE,NA,NA
"8","RT @alacre: Univ of Kent has bookable learning spaces in the woods! #lthechat",FALSE,0,NA,2017-04-08 15:45:02,FALSE,NA,"850736249908453377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrewmid",3,TRUE,FALSE,NA,NA
"9","RT @digisim: For tonight's #LTHEchat I was tweeting from: my house, my car (parked), the scout hut &amp; a friends house #learningspaces",FALSE,0,NA,2017-04-08 15:39:58,FALSE,NA,"850734976517763072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andrewmid",3,TRUE,FALSE,NA,NA
"10","RT @eraser: navegANDO WORDS @WarwickLanguage @alacre #LTHEchat 70 Linguistic diversity in the classroom &amp; online https://t.co/Ohu4cgjXvK #e…",FALSE,0,NA,2017-04-08 14:21:14,FALSE,NA,"850715159056326656",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","JamesRoy",1,TRUE,FALSE,NA,NA
